page_url,property_type,price,location,locality,baths,area_marla,purpose,bedrooms
https://www.zameen.com/Property/lahore_airport_road_5_marla_beautiful_new_house_for_rent-16893990-8347-4.html,House,35000,Airport Road,"Airport Road, Lahore, Punjab",4,5.0,For Rent,3
https://www.zameen.com/Property/lahore_angoori_bagh_flat__is_available_for_sale-13594515-4499-1.html,Flat,2500000,Angoori Bagh,"Angoori Bagh, Lahore, Punjab",1,2.5,For Sale,1
https://www.zameen.com/Property/dha_phase_6_dha_phase_6_block_a_excellent_design_1_kanal_brand_new_full_basement_stylish_bungalow_for_sale-14375404-1610-1.html,House,63500000,DHA Defence,"DHA Defence, Lahore, Punjab",7,20.0,For Sale,6
https://www.zameen.com/Property/i_10_i_10_4_house_is_available_for_sale-13885428-3423-1.html,House,22500000,I-10,"I-10, Islamabad, Islamabad Capital",5,5.0,For Sale,5
https://www.zameen.com/Property/dha_defence_dha_phase_5_1_kanal_brand_new_house_for_sale-13558441-1447-1.html,House,40000000,DHA Defence,"DHA Defence, Lahore, Punjab",6,20.0,For Sale,5
https://www.zameen.com/Property/dha_defence_dha_phase_2_extension_exclusively_modernized_lower_compact_bungalow_portion_2_master_size_bedrooms-15128636-1672-4.html,Lower Portion,58000,DHA Defence,"DHA Defence, Karachi, Sindh",3,4.8,For Rent,2
https://www.zameen.com/Property/f_11_f_11_markaz_flat_is_available_for_rent-14775554-3286-4.html,Flat,40000,F-11,"F-11, Islamabad, Islamabad Capital",0,10.4,For Rent,3
https://www.zameen.com/Property/rawalpindi_gulraiz_housing_scheme_well_built_apartment_available_in_good_location-16980072-438-4.html,Flat,8000,Gulraiz Housing Scheme,"Gulraiz Housing Scheme, Rawalpindi, Punjab",1,1.6,For Rent,1
https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_3_marla_house_for_sale-16719818-4506-1.html,House,4500000,Al Rehman Garden,"Al Rehman Garden, Lahore, Punjab",2,3.0,For Sale,2
https://www.zameen.com/Property/i_8_i_8_4_i_8_4_corner_14_marla_ground_portion_3bed_3bath_separate_gate_2_car_parking_water_boring_72000_final-17273448-3444-4.html,Lower Portion,72000,I-8,"I-8, Islamabad, Islamabad Capital",3,14.0,For Rent,3
https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_3_a_ground_floor_for_rent_400_sq_yard_in_gulistan_e_johar_block_3_a-11859587-6827-4.html,Lower Portion,50000,Gulistan-e-Jauhar,"Gulistan-e-Jauhar, Karachi, Sindh",3,16.0,For Rent,4
https://www.zameen.com/Property/scheme_33_saadi_town_here_is_a_good_opportunity_to_live_in_a_well_built_house-17058773-6853-1.html,House,28000000,Scheme 33,"Scheme 33, Karachi, Sindh",6,9.6,For Sale,6
